418.01,341.75
417.96,374.69
426.07,265.73
435.84,351.18
459.62,357.47
470.74,282.31
470.39,344.55
474.71,422.67
480.83,242.16
484.16,182
493.08,424.4
533.93,386.31
570.27,373.53
584.3,345
593.61,352
602.78,388.08
634.14,391
643.3,390
653.46,351
678.17,239.65
682.02,241.22
778.48,475.32
805.16,320.02
442.1,65.866
530.56,81.076
536.85,387.45
575.04,437.35
588.51,441.96
607.19,390.06
610.98,94.974
627.8,445.74
656.87,429.09
672.86,393.91
685.62,399.96
703,426.62
703.03,313.11
713.48,465.88
715.83,429.75
719,391.36
729.99,408.09
755.78,119.95
266.21,35.571
363.67,405.62
386.28,264.52
386.73,275.41
401.82,146.35
416.95,402.43
495.14,428.09
499.98,420.72
504.83,200.08
546.27,268.7
550.35,238.95
562.14,407.51
564.84,412.53
582.52,275.36
587.16,444.15
600.89,393.94
607.32,293.7
619.14,252.42
652.22,276.02
655.63,272.37
654.87,294.46
671.53,446.89
685.59,331.22
710,309.68
404.74,142.92
406.55,136.46
407.07,119.44
408.18,110.95
408.4,116.04
409.69,73.447
409.04,107.59
410.17,99.257
410.36,103.6
497.21,129.47
519.29,402.01
528.84,206.57
539.96,395.05
542.04,207.55
547.13,197.68
548.22,191.39
548.99,185.06
548.04,194.61
550.43,182.12
549.65,188.89
605.19,197.8
606.1,215.05
604.43,229.96
605.4,241.87
683.99,332.33
582.24,378.99
630,346
700.63,297.4
429.48,268.6
487.26,397.87
491.44,172.04
525.91,141.92
528.91,334.15
627,346
422.53,299.8
427.22,285.72
431.66,224.68
440.7,309.04
463.45,317.46
473.26,241.28
473.95,305.5
479.18,351.63
483.77,194.16
485.06,139
499.26,278.31
544.52,268.28
571.34,323.5
584.82,291
595.32,291
604.53,293.05
634.23,310
643.01,309
651.63,308
674.98,171.66
679.65,188.24
792.83,387.37
836.44,141.07
516.14,78.628
584.49,90.468
576.82,390.84
654.06,426.47
671.47,430.67
647.19,394.08
717.9,113.4
669.7,438.17
776.8,411.61
715.89,391.34
728.68,406.61
786.02,412.75
754.08,314.89
768.41,475.31
783.72,417.16
765,396.43
786.01,407.03
833.71,133.37
441.19,65.69
473.54,424.41
423.29,275.48
422.73,285.42
482.34,187.31
471.05,397.37
585.24,443.55
546.02,421.58
642.58,269.62
594.11,288.11
593.35,258.95
648.96,422.57
632.01,424.62
627.76,293.78
713.06,465.74
725.61,414.73
642.14,307.18
650.6,268.56
697.37,298.71
697.48,293.67
694.7,312.83
731.54,446.36
722.82,344.6
751,311.03
483.89,183.64
481.29,175.95
454.69,146.12
479.3,151.73
457.41,143.02
483.98,120.57
480.11,148.47
458.11,127.36
457.19,130.89
601.83,194.74
564.56,410.75
620.06,253.15
581.02,403.78
593.79,236
597.9,226.1
596.87,219.01
597.29,213.31
595.71,221.2
596.27,209.38
595.86,215.53
697.4,256.47
643.13,236.99
640.28,250.22
637.27,258.13
656.01,299.5
580.76,330.01
630,388
698.25,258.36
434.19,228.68
489.52,348.83
493.18,130.96
529.16,94.934
532.9,265.15
627,388
